author,rating,title,content,votes,date
Estefanie2021,5,Jogo há anos e adoro,Jogo há anos e adoro. Pena que pesa bastante na memória do celular,0,2022-01-14T15:37:06-07:00
helobacchi,1,Valor,"O preço dos diamantes subiu, o preço dos objetos na loja também. Mas o valor dos prêmios nunca aumenta. Jogo inflacionado, superfaturado, que desrespeita os jogadores.",0,2022-01-11T17:45:27-07:00
marcio 123446799,1,It is really bad,"The staff in game is really expensive 
So If you want to play and compete in the challenges you will spend money.
It is really bad 👎",1,2021-12-29T14:53:20-07:00
mmpex,1,O app nem sequer abre,Horrível,0,2021-12-04T19:10:56-07:00
Kenia01Kenia,5,Jogo a anos muito bom,Porém a meses está sem atualizar as casa que fazemos ela completa. Não vai ter mais?,0,2021-11-28T15:48:15-07:00
neorandal,4,Problemas,"Desde a última atualização não consigo acessar direito.
Jogo instável, fechando e travando muito, podem ver o que está acontecendo, por favor?",0,2021-11-21T12:39:58-07:00
noara28,5,Amo,EU SOU VICIADA NESSE JOGO A MAIS DE 3 ANOS!!!!!!,0,2021-11-05T15:03:38-07:00
yaraahora,5,Meu jogo favorito,Jogo a muito tempo e gosto muito ótima ferramenta pra quem trabalha na área de design também,0,2021-11-04T21:14:37-07:00
fran2112atc,1,Problemas,"Estou a uma semana sem conseguir acessar o jogo!!!
Vou esperar mais uns dias e se não ouver ao menos uma satisfação vou desinstalar!!!",1,2021-10-30T18:57:31-07:00
Enrico Galea,1,Péssimo,"As ofertas nao dão diamantes e eles tiram os nossos itens.Além que acho de tudo ser muito caro na loja.É incomparável 10,000 de dinheiro por 10,000 diamantes.Muito diferente.Além de ter mais coisas de diamante.Atualizem e melhorem os bugs.",0,2021-09-22T05:20:24-07:00
pandhfjr,2,Casas acabaram,"O jogo é maravilhoso, mas as minhas casas acabaram e não tem razão para continuar, aguardando uma atualização com mais casas.",0,2021-05-19T16:40:54-07:00
Xerecuda,5,Ótimo Jogo. Pouquíssima propaganda,Ótimo jogo pra quem tá cansado de jogar jogos com muitas propagandas.,0,2021-04-03T13:09:23-07:00
MarianaMangilli,5,Pedindo atualização,Amo o jogo mas está dizendo que tem um nova atualização só que não aparece a opção de atualizar e assim o jogo não abre,0,2021-04-03T00:23:01-07:00
Juliete21,3,Não abre mais,Depois da atualização o app não abre mais,0,2021-04-03T00:17:19-07:00
jabonipinto,5,Legal,Bom,0,2021-04-02T22:53:12-07:00
CláudiaCristina,1,Bug,"O jogo é viciante, mas com a última atualização, ficou impossível jogar!
Ao abrir o app, aparece uma mensagem falando que é preciso atualizar, mas ele já está atualizado!",0,2021-04-02T22:32:44-07:00
HcesarOficial,5,CHATO,Enquanto não avalia com 5 Estelas não te deixa passar do nível 3,0,2021-04-02T21:54:23-07:00
Haniya20,5,Não consigo acessar o App,"Desde o dia 1/abril o App não abre no meh celular, só fica na tela inicial de carregando e não abre, estou super chateada por favor ajeitem isso !",0,2021-04-02T16:33:04-07:00
