rank,titulo,autores,autores_lista,data,data_completa,link,resumo,categorias,categorias_lista,arxiv_id,doi,comment,journal_ref,primary_category,termo
53,A first look at the usability of bitcoin key management,"Shayan Eskandari, Jeremy Clark, David Barrera, Elizabeth Stobert","['Shayan Eskandari', 'Jeremy Clark', 'David Barrera', 'Elizabeth Stobert']",2018-02-12,2018-02-12T20:38:04Z,https://arxiv.org/abs/1802.04351v1,"Bitcoin users are directly or indirectly forced to deal with public key cryptography, which has a number of security and usability challenges that differ from the password-based authentication underlying most online banking services. Users must ensure that keys are simultaneously accessible, resistant to digital theft and resilient to loss. In this paper, we contribute an evaluation framework for comparing Bitcoin key management approaches, and conduct a broad usability evaluation of six representative Bitcoin clients. We find that Bitcoin shares many of the fundamental challenges of key management known from other domains, but that Bitcoin may present a unique opportunity to rethink key management for end users.","cs.CR, cs.CY, cs.ET, cs.HC","['cs.CR', 'cs.CY', 'cs.ET', 'cs.HC']",1802.04351v1,10.14722/usec.2015.23015,"10 Pages, USEC 15: NDSS Workshop on Usable Security (USEC) 2015, San Diego, CA, USA, February 8, 2015, Internet Society",,cs.CR,bitcoin
54,Statistical properties and multifractality of Bitcoin,Tetsuya Takaishi,['Tetsuya Takaishi'],2017-07-24,2017-07-24T15:57:25Z,https://arxiv.org/abs/1707.07618v3,"Using 1-min returns of Bitcoin prices, we investigate statistical properties and multifractality of a Bitcoin time series. We find that the 1-min return distribution is fat-tailed, and kurtosis largely deviates from the Gaussian expectation. Although for large sampling periods, kurtosis is anticipated to approach the Gaussian expectation, we find that convergence to that is very slow. Skewness is found to be negative at time scales shorter than one day and becomes consistent with zero at time scales longer than about one week. We also investigate daily volatility-asymmetry by using GARCH, GJR, and RGARCH models, and find no evidence of it. On exploring multifractality using multifractal detrended fluctuation analysis, we find that the Bitcoin time series exhibits multifractality. The sources of multifractality are investigated, confirming that both temporal correlation and the fat-tailed distribution contribute to it. The influence of ""Brexit"" on June 23, 2016 to GBP--USD exchange rate and Bitcoin is examined in multifractal properties. We find that, while Brexit influenced the GBP--USD exchange rate, Bitcoin was robust to Brexit.",q-fin.ST,['q-fin.ST'],1707.07618v3,10.1016/j.physa.2018.04.046,"19 pages, 9 figures",Physica A 506 (2018) 507-519,q-fin.ST,bitcoin
55,How to deal with malleability of BitCoin transactions,"Marcin Andrychowicz, Stefan Dziembowski, Daniel Malinowski, Łukasz Mazurek","['Marcin Andrychowicz', 'Stefan Dziembowski', 'Daniel Malinowski', 'Łukasz Mazurek']",2013-12-11,2013-12-11T16:26:01Z,https://arxiv.org/abs/1312.3230v1,"BitCoin transactions are malleable in a sense that given a transaction an adversary can easily construct an equivalent transaction which has a different hash. This can pose a serious problem in some BitCoin distributed contracts in which changing a transaction's hash may result in the protocol disruption and a financial loss. The problem mostly concerns protocols, which use a ""refund"" transaction to withdraw a deposit in a case of the protocol interruption. In this short note, we show a general technique for creating malleability-resilient ""refund"" transactions, which does not require any modification of the BitCoin protocol. Applying our technique to our previous paper ""Fair Two-Party Computations via the BitCoin Deposits"" (Cryptology ePrint Archive, 2013) allows to achieve fairness in any Two-Party Computation using the BitCoin protocol in its current version.",cs.CR,['cs.CR'],1312.3230v1,,,,cs.CR,bitcoin
56,IPv6 Bitcoin-Certified Addresses,Mathieu Ducroux,['Mathieu Ducroux'],2023-11-27,2023-11-27T14:08:31Z,https://arxiv.org/abs/2311.15842v1,"A pivotal feature of IPv6 is its plug-and-play capability that enables hosts to integrate seamlessly into networks. In the absence of a trusted authority or security infrastructure, the challenge for hosts is generating their own address and verifying ownership of others. Cryptographically Generated Addresses (CGA) solves this problem by binding IPv6 addresses to hosts' public keys to prove address ownership. CGA generation involves solving a cryptographic puzzle similar to Bitcoin's Proof-of-Work (PoW) to deter address spoofing. Unfortunately, solving the puzzle often causes undesirable address generation delays, which has hindered the adoption of CGA. In this paper, we present Bitcoin-Certified Addresses (BCA), a new technique to bind IPv6 addresses to hosts' public keys. BCA reduces the computational cost of generating addresses by using the PoW computed by Bitcoin nodes to secure the binding. Compared to CGA, BCA provides better protection against spoofing attacks and improves the privacy of hosts. Due to the decentralized nature of the Bitcoin network, BCA avoids reliance on a trusted authority, similar to CGA. BCA shows how the PoW computed by Bitcoin nodes can be reused, which saves costs for hosts and makes Bitcoin mining more efficient.","cs.CR, cs.NI","['cs.CR', 'cs.NI']",2311.15842v1,10.1109/FNWF58287.2023.10520605,"8 pages, 2 figures, 3 tables, to be published in 2023 IEEE Future Networks World Forum (FNWF)",,cs.CR,bitcoin
57,Bitcoin Transaction Forecasting with Deep Network Representation Learning,"Wenqi Wei, Qi Zhang, Ling Liu","['Wenqi Wei', 'Qi Zhang', 'Ling Liu']",2020-07-15,2020-07-15T21:11:32Z,https://arxiv.org/abs/2007.07993v2,"Bitcoin and its decentralized computing paradigm for digital currency trading are one of the most disruptive technology in the 21st century. This paper presents a novel approach to developing a Bitcoin transaction forecast model, DLForecast, by leveraging deep neural networks for learning Bitcoin transaction network representations. DLForecast makes three original contributions. First, we explore three interesting properties between Bitcoin transaction accounts: topological connectivity pattern of Bitcoin accounts, transaction amount pattern, and transaction dynamics. Second, we construct a time-decaying reachability graph and a time-decaying transaction pattern graph, aiming at capturing different types of spatial-temporal Bitcoin transaction patterns. Third, we employ node embedding on both graphs and develop a Bitcoin transaction forecasting system between user accounts based on historical transactions with built-in time-decaying factor. To maintain an effective transaction forecasting performance, we leverage the multiplicative model update (MMU) ensemble to combine prediction models built on different transaction features extracted from each corresponding Bitcoin transaction graph. Evaluated on real-world Bitcoin transaction data, we show that our spatial-temporal forecasting model is efficient with fast runtime and effective with forecasting accuracy over 60\% and improves the prediction performance by 50\% when compared to forecasting model built on the static graph baseline.","cs.SI, cs.LG","['cs.SI', 'cs.LG']",2007.07993v2,,,,cs.SI,bitcoin
58,Modeling Bitcoin Contracts by Timed Automata,"Marcin Andrychowicz, Stefan Dziembowski, Daniel Malinowski, Łukasz Mazurek","['Marcin Andrychowicz', 'Stefan Dziembowski', 'Daniel Malinowski', 'Łukasz Mazurek']",2014-05-08,2014-05-08T10:01:28Z,https://arxiv.org/abs/1405.1861v2,"Bitcoin is a peer-to-peer cryptographic currency system. Since its introduction in 2008, Bitcoin has gained noticeable popularity, mostly due to its following properties: (1) the transaction fees are very low, and (2) it is not controlled by any central authority, which in particular means that nobody can ""print"" the money to generate inflation. Moreover, the transaction syntax allows to create the so-called contracts, where a number of mutually-distrusting parties engage in a protocol to jointly perform some financial task, and the fairness of this process is guaranteed by the properties of Bitcoin. Although the Bitcoin contracts have several potential applications in the digital economy, so far they have not been widely used in real life. This is partly due to the fact that they are cumbersome to create and analyze, and hence risky to use.
  In this paper we propose to remedy this problem by using the methods originally developed for the computer-aided analysis for hardware and software systems, in particular those based on the timed automata. More concretely, we propose a framework for modeling the Bitcoin contracts using the timed automata in the UPPAAL model checker. Our method is general and can be used to model several contracts. As a proof-of-concept we use this framework to model some of the Bitcoin contracts from our recent previous work. We then automatically verify their security in UPPAAL, finding (and correcting) some subtle errors that were difficult to spot by the manual analysis. We hope that our work can draw the attention of the researchers working on formal modeling to the problem of the Bitcoin contract verification, and spark off more research on this topic.",cs.CR,['cs.CR'],1405.1861v2,,,,cs.CR,bitcoin
59,A Probabilistic Model of the Bitcoin Blockchain,"Marc Jourdan, Sebastien Blandin, Laura Wynter, Pralhad Deshpande","['Marc Jourdan', 'Sebastien Blandin', 'Laura Wynter', 'Pralhad Deshpande']",2018-11-07,2018-11-07T02:35:24Z,https://arxiv.org/abs/1812.05451v1,"The Bitcoin transaction graph is a public data structure organized as transactions between addresses, each associated with a logical entity. In this work, we introduce a complete probabilistic model of the Bitcoin Blockchain. We first formulate a set of conditional dependencies induced by the Bitcoin protocol at the block level and derive a corresponding fully observed graphical model of a Bitcoin block. We then extend the model to include hidden entity attributes such as the functional category of the associated logical agent and derive asymptotic bounds on the privacy properties implied by this model. At the network level, we show evidence of complex transaction-to-transaction behavior and present a relevant discriminative model of the agent categories. Performance of both the block-based graphical model and the network-level discriminative model is evaluated on a subset of the public Bitcoin Blockchain.","cs.CR, cs.AI, cs.LG, stat.ML","['cs.CR', 'cs.AI', 'cs.LG', 'stat.ML']",1812.05451v1,,,,cs.CR,bitcoin
60,Bitcoin vs. Bitcoin Cash: Coexistence or Downfall of Bitcoin Cash?,"Yujin Kwon, Hyoungshick Kim, Jinwoo Shin, Yongdae Kim","['Yujin Kwon', 'Hyoungshick Kim', 'Jinwoo Shin', 'Yongdae Kim']",2019-02-28,2019-02-28T13:10:18Z,https://arxiv.org/abs/1902.11064v2,"In Aug. 2017, Bitcoin was split into the original Bitcoin (BTC) and Bitcoin Cash (BCH). Since then, miners have had a choice between BTC and BCH mining because they have compatible proof-of-work algorithms. Therefore, they can freely choose which coin to mine for higher profit, where the profitability depends on both the coin price and mining difficulty. Some miners can immediately switch the coin to mine only when mining difficulty changes because the difficulty changes are more predictable than that for the coin price, and we call this behavior fickle mining.
  In this paper, we study the effects of fickle mining by modeling a game between two coins. To do this, we consider both fickle miners and some factions (e.g., BITMAIN for BCH mining) that stick to mining one coin to maintain that chain. In this model, we show that fickle mining leads to a Nash equilibrium in which only a faction sticking to its coin mining remains as a loyal miner to the less valued coin (e.g., BCH), where loyal miners refer to those who conduct mining even after coin mining difficulty increases. This situation would cause severe centralization, weakening the security of the coin system.
  To determine which equilibrium the competing coin systems (e.g., BTC vs. BCH) are moving toward, we traced the historical changes of mining power for BTC and BCH. In addition, we analyze the recent ""hash war"" between Bitcoin ABC and SV, which confirms our theoretical analysis. Finally, we note that our results can be applied to any competing cryptocurrency systems in which the same hardware (e.g., ASICs or GPUs) can be used for mining. Therefore, our study brings new and important angles in competitive coin markets: a coin can intentionally weaken the security and decentralization level of the other rival coin when mining hardware is shared between them, allowing for automatic mining.","cs.CR, cs.GT","['cs.CR', 'cs.GT']",1902.11064v2,,This paper is the full version of a paper accepted to IEEE S&P 2019,,cs.CR,bitcoin
61,Hijacking Bitcoin: Routing Attacks on Cryptocurrencies,"Maria Apostolaki, Aviv Zohar, Laurent Vanbever","['Maria Apostolaki', 'Aviv Zohar', 'Laurent Vanbever']",2016-05-24,2016-05-24T16:08:04Z,https://arxiv.org/abs/1605.07524v2,"As the most successful cryptocurrency to date, Bitcoin constitutes a target of choice for attackers. While many attack vectors have already been uncovered, one important vector has been left out though: attacking the currency via the Internet routing infrastructure itself. Indeed, by manipulating routing advertisements (BGP hijacks) or by naturally intercepting traffic, Autonomous Systems (ASes) can intercept and manipulate a large fraction of Bitcoin traffic.
  This paper presents the first taxonomy of routing attacks and their impact on Bitcoin, considering both small-scale attacks, targeting individual nodes, and large-scale attacks, targeting the network as a whole. While challenging, we show that two key properties make routing attacks practical: (i) the efficiency of routing manipulation; and (ii) the significant centralization of Bitcoin in terms of mining and routing. Specifically, we find that any network attacker can hijack few (<100) BGP prefixes to isolate ~50% of the mining power---even when considering that mining pools are heavily multi-homed. We also show that on-path network attackers can considerably slow down block propagation by interfering with few key Bitcoin messages.
  We demonstrate the feasibility of each attack against the deployed Bitcoin software. We also quantify their effectiveness on the current Bitcoin topology using data collected from a Bitcoin supernode combined with BGP routing data.
  The potential damage to Bitcoin is worrying. By isolating parts of the network or delaying block propagation, attackers can cause a significant amount of mining power to be wasted, leading to revenue losses and enabling a wide range of exploits such as double spending. To prevent such effects in practice, we provide both short and long-term countermeasures, some of which can be deployed immediately.","cs.NI, cs.CR","['cs.NI', 'cs.CR']",1605.07524v2,,"To appear in the 38th IEEE Symposium on Security and Privacy, May 2017",,cs.NI,bitcoin
62,Block arrivals in the Bitcoin blockchain,"R. Bowden, H. P. Keeler, A. E. Krzesinski, P. G. Taylor","['R. Bowden', 'H. P. Keeler', 'A. E. Krzesinski', 'P. G. Taylor']",2018-01-23,2018-01-23T09:20:48Z,https://arxiv.org/abs/1801.07447v1,"Bitcoin is a electronic payment system where payment transactions are verified and stored in a data structure called the blockchain. Bitcoin miners work individually to solve a computationally intensive problem, and with each solution a Bitcoin block is generated, resulting in a new arrival to the blockchain. The difficulty of the computational problem is updated every 2,016 blocks in order to control the rate at which blocks are generated. In the original Bitcoin paper, it was suggested that the blockchain arrivals occur according to a homogeneous Poisson process. Based on blockchain block arrival data and stochastic analysis of the block arrival process, we demonstrate that this is not the case. We present a refined mathematical model for block arrivals, focusing on both the block arrivals during a period of constant difficulty and how the difficulty level evolves over time.",cs.CR,['cs.CR'],1801.07447v1,,,,cs.CR,bitcoin
63,Bitcoin under Volatile Block Rewards: How Mempool Statistics Can Influence Bitcoin Mining,"Roozbeh Sarenche, Alireza Aghabagherloo, Svetla Nikova, Bart Preneel","['Roozbeh Sarenche', 'Alireza Aghabagherloo', 'Svetla Nikova', 'Bart Preneel']",2024-11-18,2024-11-18T16:29:20Z,https://arxiv.org/abs/2411.11702v3,"The security of Bitcoin protocols is deeply dependent on the incentives provided to miners, which come from a combination of block rewards and transaction fees. As Bitcoin experiences more halving events, the protocol reward converges to zero, making transaction fees the primary source of miner rewards. This shift in Bitcoin's incentivization mechanism, which introduces volatility into block rewards, leads to the emergence of new security threats or intensifies existing ones. Previous security analyses of Bitcoin have either considered a fixed block reward model or a highly simplified volatile model, overlooking the complexities of Bitcoin's mempool behavior.
  This paper presents a reinforcement learning-based tool to develop mining strategies under a more realistic volatile model. We employ the Asynchronous Advantage Actor-Critic (A3C) algorithm, which efficiently handles dynamic environments, such as the Bitcoin mempool, to derive near-optimal mining strategies when interacting with an environment that models the complexity of the Bitcoin mempool. This tool enables the analysis of adversarial mining strategies, such as selfish mining and undercutting, both before and after difficulty adjustments, providing insights into the effects of mining attacks in both the short and long term.
  We revisit the Bitcoin security threshold presented in the WeRLman paper and demonstrate that the implicit predictability of valuable transaction arrivals in this model leads to an underestimation of the reported threshold. Additionally, we show that, while adversarial strategies like selfish mining under the fixed reward model incur an initial loss period of at least two weeks, the transition toward a transaction-fee era incentivizes mining pools to abandon honest mining for immediate profits. This incentive is expected to become more significant as the protocol reward approaches zero in the future.",cs.CR,['cs.CR'],2411.11702v3,,,,cs.CR,bitcoin
64,The Looming Threat of China: An Analysis of Chinese Influence on Bitcoin,"Ben Kaiser, Mireya Jurado, Alex Ledger","['Ben Kaiser', 'Mireya Jurado', 'Alex Ledger']",2018-10-05,2018-10-05T00:19:50Z,https://arxiv.org/abs/1810.02466v1,"As Bitcoin's popularity has grown over the decade since its creation, it has become an increasingly attractive target for adversaries of all kinds. One of the most powerful potential adversaries is the country of China, which has expressed adversarial positions regarding the cryptocurrency and demonstrated powerful capabilities to influence it. In this paper, we explore how China threatens the security, stability, and viability of Bitcoin through its dominant position in the Bitcoin ecosystem, political and economic control over domestic activity, and control over its domestic Internet infrastructure. We explore the relationship between China and Bitcoin, document China's motivation to undermine Bitcoin, and present a case study to demonstrate the strong influence that China has over Bitcoin. Finally, we systematize the class of attacks that China can deploy against Bitcoin to better understand the threat China poses. We conclude that China has mature capabilities and strong motives for performing a variety of attacks against Bitcoin.",cs.CR,['cs.CR'],1810.02466v1,,,,cs.CR,bitcoin
65,Bitcoin Average Dormancy: A Measure of Turnover and Trading Activity,Reginald D. Smith,['Reginald D. Smith'],2017-12-20,2017-12-20T15:16:59Z,https://arxiv.org/abs/1712.10287v2,"Attempts to accurately measure the monetary velocity or related properties of bitcoin used in transactions have often attempted to either directly apply definitions from traditional macroeconomic theory or to use specialized metrics relative to the properties of the Blockchain like bitcoin days destroyed. In this paper, it is demonstrated that beyond being a useful metric, bitcoin days destroyed has mathematical properties that allow you to calculate the average dormancy (time since last use in a transaction) of the bitcoins used in transactions over a given time period. In addition, bitcoin days destroyed is shown to have another unexpected significance as the average size of the pool of traded bitcoins by virtue of the expression Little's Law, though only under limited conditions.","q-fin.TR, q-fin.ST","['q-fin.TR', 'q-fin.ST']",1712.10287v2,10.5195/ledger.2018.99,"12 pages, 5 figures; accepted and to appear in Ledger","Ledger, 3, 91-99 (2018)",q-fin.TR,bitcoin
66,The link between Bitcoin and Google Trends attention,"Nektarios Aslanidis, Aurelio F. Bariviera, Óscar G. López","['Nektarios Aslanidis', 'Aurelio F. Bariviera', 'Óscar G. López']",2021-06-13,2021-06-13T22:41:55Z,https://arxiv.org/abs/2106.07104v1,"This paper shows that Bitcoin is not correlated to a general uncertainty index as measured by the Google Trends data of Castelnuovo and Tran (2017). Instead, Bitcoin is linked to a Google Trends attention measure specific for the cryptocurrency market. First, we find a bidirectional relationship between Google Trends attention and Bitcoin returns up to six days. Second, information flows from Bitcoin volatility to Google Trends attention seem to be larger than information flows in the other direction. These relations hold across different sub-periods and different compositions of the proposed Google Trends Cryptocurrency index.",q-fin.ST,['q-fin.ST'],2106.07104v1,,"9 pages, 5 figures",,q-fin.ST,bitcoin
67,Research on Anonymization and De-anonymization in the Bitcoin System,"QingChun ShenTu, JianPing Yu","['QingChun ShenTu', 'JianPing Yu']",2015-10-27,2015-10-27T06:34:31Z,https://arxiv.org/abs/1510.07782v1,"The Bitcoin system is an anonymous, decentralized crypto-currency. There are some deanonymizating techniques to cluster Bitcoin addresses and to map them to users' identifications in the two research directions of Analysis of Transaction Chain (ATC) and Analysis of Bitcoin Protocol and Network (ABPN). Nowadays, there are also some anonymization methods such as coin-mixing and transaction remote release (TRR) to cover the relationship between Bitcoin address and the user. This paper studies anonymization and de-anonymization technologies and proposes some directions for further research.",cs.CR,['cs.CR'],1510.07782v1,,"14 pages, 2 figures. arXiv admin note: text overlap with arXiv:1509.06160",,cs.CR,bitcoin
68,Modeling and Simulation of the Economics of Mining in the Bitcoin Market,"Luisanna Cocco, Michele Marchesi","['Luisanna Cocco', 'Michele Marchesi']",2016-05-04,2016-05-04T17:20:10Z,https://arxiv.org/abs/1605.01354v1,"In January 3, 2009, Satoshi Nakamoto gave rise to the ""Bitcoin Block Chain"" creating the first block of the chain hashing on his computers central processing unit (CPU). Since then, the hash calculations to mine Bitcoin have been getting more and more complex, and consequently the mining hardware evolved to adapt to this increasing difficulty. Three generations of mining hardware have followed the CPU's generation. They are GPU's, FPGA's and ASIC's generations. This work presents an agent based artificial market model of the Bitcoin mining process and of the Bitcoin transactions. The goal of this work is to model the economy of the mining process, starting from GPU's generation, the first with economic significance. The model reproduces some ""stylized facts"" found in real time price series and some core aspects of the mining business. In particular, the computational experiments performed are able to reproduce the unit root property, the fat tail phenomenon and the volatility clustering of Bitcoin price series. In addition, under proper assumptions, they are able to reproduce the price peak at the end of November 2013, its next fall in April 2014, the generation of Bitcoins, the hashing capability, the power consumption, and the mining hardware and electrical energy expenses of the Bitcoin network.",q-fin.TR,['q-fin.TR'],1605.01354v1,10.1371/journal.pone.0164603,,,q-fin.TR,bitcoin
69,The Bitcoin price formation: Beyond the fundamental sources,"Jamal Bouoiyour, Refk Selmi","['Jamal Bouoiyour', 'Refk Selmi']",2017-07-05,2017-07-05T09:39:04Z,https://arxiv.org/abs/1707.01284v1,"Much significant research has been done to investigate various facets of the link between Bitcoin price and its fundamental sources. This study goes beyond by looking into least to most influential factors-across the fundamental, macroeconomic, financial, speculative and technical determinants as well as the 2016 events-which drove the value of Bitcoin in times of economic and geopolitical chaos. We use a Bayesian quantile regression to inspect how the structure of dependence of Bitcoin price and its determinants varies across the entire conditional distribution of Bitcoin price movements. In doing so, three groups of determinants were derived. The use of Bitcoin in trade and the uncertainty surrounding China's deepening slowdown, Brexit and India's demonetization were found to be the most potential contributors of Bitcoin price when the market is improving. The intense anxiety over Donald Trump being the president of United States was shown to be a positive determinant pushing up the price of Bitcoin when the market is functioning around the normal mode. The velocity of bitcoins in circulation, the gold price, the Venezuelan currency demonetization and the hash rate were found to be the fundamentals influencing the Bitcoin price when the market is heading into decline.",q-fin.CP,['q-fin.CP'],1707.01284v1,,,,q-fin.CP,bitcoin
70,An Analysis of Transaction Handling in Bitcoin,"Befekadu G. Gebraselase, Bjarne E. Helvik, Yuming Jiang","['Befekadu G. Gebraselase', 'Bjarne E. Helvik', 'Yuming Jiang']",2021-06-18,2021-06-18T12:09:55Z,https://arxiv.org/abs/2106.10083v1,"Bitcoin has become the leading cryptocurrency system, but the limit on its transaction processing capacity has resulted in increased transaction fees and delayed transaction confirmation. As such, it is pertinent to understand and probably predict how transactions are handled by Bitcoin such that a user may adapt the transaction requests and a miner may adjust the block generation strategy and/or the mining pool to join. To this aim, the present paper introduces results from an analysis of transaction handling in Bitcoin.
  Specifically, the analysis consists of two-part. The first part is an exploratory data analysis revealing key characteristics in Bitcoin transaction handling. The second part is a predictability analysis intended to provide insights on transaction handling such as (i) transaction confirmation time, (ii) block attributes, and (iii) who has created the block. The result shows that some models do reasonably well for (ii), but surprisingly not for (i) or (iii).",cs.CR,['cs.CR'],2106.10083v1,,,,cs.CR,bitcoin
71,Modelling the Bitcoin prices and the media attention to Bitcoin via the jump-type processes,"Ekaterina Morozova, Vladimir Panov","['Ekaterina Morozova', 'Vladimir Panov']",2022-10-25,2022-10-25T08:08:17Z,https://arxiv.org/abs/2210.13824v1,"In this paper, we present a new bivariate model for the joint description of the Bitcoin prices and the media attention to Bitcoin. Our model is based on the class of the Lévy processes and is able to realistically reproduce the jump-type dynamics of the considered time series. We focus on the low-frequency setup, which is for the Lévy - based models essentially more difficult than the high-frequency case. We design a semiparametric estimation procedure for the statistical inference on the parameters and the Lévy measures of the considered processes. We show that the dynamics of the market attention can be effectively modelled by the Lévy processes with finite Lévy measures, and propose a data-driven procedure for the description of the Bitcoin prices.","q-fin.ST, math.ST, stat.AP","['q-fin.ST', 'math.ST', 'stat.AP']",2210.13824v1,,20 pages; 8 figures,,q-fin.ST,bitcoin
72,An evaluation of the security of the Bitcoin Peer-to- Peer Network,"James Tapsell, Raja Naeem Akram, Konstantinos Markantonakis","['James Tapsell', 'Raja Naeem Akram', 'Konstantinos Markantonakis']",2018-05-25,2018-05-25T17:22:51Z,https://arxiv.org/abs/1805.10259v2,"Bitcoin is a decentralised digital currency that relies on cryptography rather than trusted third parties such as central banks for its security. Underpinning the operation of the currency is a peer-to-peer (P2P) network that facilitates the execution of transactions by end users, as well as the transaction confirmation process known as bitcoin mining. The security of this P2P network is vital for the currency to function and subversion of the underlying network can lead to attacks on bitcoin users including theft of bitcoins, manipulation of the mining process and denial of service (DoS). As part of this paper the network protocol and bitcoin core software are analysed, with three bitcoin message exchanges (the connection handshake, GETHEADERS/HEADERS and MEMPOOL/INV) found to be potentially vulnerable to spoofing and use in distributed denial of service (DDoS) attacks. Possible solutions to the identified weaknesses and vulnerabilities are evaluated, such as the introduction of random nonces into network messages exchanges.",cs.CR,['cs.CR'],1805.10259v2,,"8 Pages, 7 Figures, Conference",,cs.CR,bitcoin
73,Practical Aspects of the Bitcoin System,Artus Krohn-Grimberghe Christoph Sorge,['Artus Krohn-Grimberghe Christoph Sorge'],2013-08-30,2013-08-30T14:43:18Z,https://arxiv.org/abs/1308.6760v1,"Digital payment schemes show an ever increasing importance. Out of the countless different schemes available this article focuses on the popular Bitcoin system. The authors provide a description of Bitcoin's unique technological basis and its accompanying ecosystem of users, miners, trading platforms and vendors. Furthermore, this article discusses Bitcoin's currency-like features and the first regulatory actions take in the European Union and in the United States of America.","cs.CY, cs.CR","['cs.CY', 'cs.CR']",1308.6760v1,,"Covers content till end of May 2013. Was submitted to Communications of the ACM but got rejected (""well written but out of scope"")",,cs.CY,bitcoin
74,From Bitcoin to Bitcoin Cash: a network analysis,"Marco Alberto Javarone, Craig Steven Wright","['Marco Alberto Javarone', 'Craig Steven Wright']",2018-04-06,2018-04-06T16:45:44Z,https://arxiv.org/abs/1804.02350v2,"Bitcoins and Blockchain technologies are attracting the attention of different scientific communities. In addition, their widespread industrial applications and the continuous introduction of cryptocurrencies are also stimulating the attention of the public opinion. The underlying structure of these technologies constitutes one of their core concepts. In particular, they are based on peer-to-peer networks. Accordingly, all nodes lie at the same level, so that there is no place for privileged actors as, for instance, banking institutions in classical financial networks. In this work, we perform a preliminary investigation on two kinds of network, i.e. the Bitcoin network and the Bitcoin Cash network. Notably, we analyze their global structure and we try to evaluate if they are provided with a small-world behavior. Results suggest that the principle known as 'fittest-gets-richer', combined with a continuous increasing of connections, might constitute the mechanism leading these networks to reach their current structure. Moreover, further observations open the way to new investigations into this direction.","physics.soc-ph, cs.SI, q-fin.ST","['physics.soc-ph', 'cs.SI', 'q-fin.ST']",1804.02350v2,10.1145/3211933.3211947,"CryBlock 18, June 15, 2018, Munich, Germany 5 pages, 3 figures, 1 table, ACM Proceeding CryBlock'18 1st Workshop on Cryptocurrencies and Blockchains for Distributed Systems 2018",,physics.soc-ph,bitcoin
75,Bitcoin Transaction Networks: an overview of recent results,"Nicolò Vallarano, Claudio Tessone, Tiziano Squartini","['Nicolò Vallarano', 'Claudio Tessone', 'Tiziano Squartini']",2020-04-30,2020-04-30T21:34:09Z,https://arxiv.org/abs/2005.00114v2,"Cryptocurrencies are distributed systems that allow exchanges of native (and non-) tokens among participants. The complete historical bookkeeping and its wide availability opens up an unprecedented possibility, i.e. that of understanding the evolution of their network structure while gaining useful insight on the relationships between user' behaviour and cryptocurrency pricing in exchange markets. In this contribution we review some of the most recent results concerning the structural properties of Bitcoin Transaction Networks, a generic name referring to a set of different constructs: the Bitcoin Address Network, the Bitcoin User Network and the Bitcoin Lightning Network. The picture that emerges is that of system growing over time, which becomes increasingly sparse and whose mesoscopic structural organization is characterised by the presence of an increasingly significant core-periphery structure. Such a peculiar topology is matched by a highly uneven distribution of bitcoins, a result suggesting that Bitcoin is becoming an increasingly centralized system at different levels.","physics.soc-ph, q-fin.GN","['physics.soc-ph', 'q-fin.GN']",2005.00114v2,10.3389/fphy.2020.00286,"15 pages, 7 figures","Front. Phys. 8, 286 (2020)",physics.soc-ph,bitcoin
76,On Bitcoin Price Prediction,Grégory Bournassenko,['Grégory Bournassenko'],2025-04-26,2025-04-26T17:48:11Z,https://arxiv.org/abs/2504.18982v1,"In recent years, cryptocurrencies have attracted growing attention from both private investors and institutions. Among them, Bitcoin stands out for its impressive volatility and widespread influence. This paper explores the predictability of Bitcoin's price movements, drawing a parallel with traditional financial markets. We examine whether the cryptocurrency market operates under the efficient market hypothesis (EMH) or if inefficiencies still allow opportunities for arbitrage. Our methodology combines theoretical reviews, empirical analyses, machine learning approaches, and time series modeling to assess the extent to which Bitcoin's price can be predicted. We find that while, in general, the Bitcoin market tends toward efficiency, specific conditions, including information asymmetries and behavioral anomalies, occasionally create exploitable inefficiencies. However, these opportunities remain difficult to systematically identify and leverage. Our findings have implications for both investors and policymakers, particularly regarding the regulation of cryptocurrency brokers and derivatives markets.","q-fin.ST, stat.OT","['q-fin.ST', 'stat.OT']",2504.18982v1,,,,q-fin.ST,bitcoin
77,Bitcoin Transaction Graph Analysis,"Michael Fleder, Michael S. Kester, Sudeep Pillai","['Michael Fleder', 'Michael S. Kester', 'Sudeep Pillai']",2015-02-05,2015-02-05T17:55:27Z,https://arxiv.org/abs/1502.01657v1,"Bitcoins have recently become an increasingly popular cryptocurrency through which users trade electronically and more anonymously than via traditional electronic transfers. Bitcoin's design keeps all transactions in a public ledger. The sender and receiver for each transaction are identified only by cryptographic public-key ids. This leads to a common misconception that it inherently provides anonymous use. While Bitcoin's presumed anonymity offers new avenues for commerce, several recent studies raise user-privacy concerns. We explore the level of anonymity in the Bitcoin system. Our approach is two-fold: (i) We annotate the public transaction graph by linking bitcoin public keys to ""real"" people - either definitively or statistically. (ii) We run the annotated graph through our graph-analysis framework to find and summarize activity of both known and unknown users.","cs.CR, cs.IR, cs.SI","['cs.CR', 'cs.IR', 'cs.SI']",1502.01657v1,,,,cs.CR,bitcoin
